compound_id,smiles,activity_label,activity_value_um
CID-843322,CC1=CC=C(C=C1)C(=O)NC(=C(Cl)Cl)C#N,active,
CID-859620,CC1=CC(=C(S1)NC(=O)CCl)C(=O)C2=CC=CC=C2,active,
CID-859639,CCC1=CC(=C(S1)NC(=O)CCl)C(=O)C2=CC=C(C=C2)C,active,
CID-880528,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCCC3,active,
CID-887990,C1=CC(=C(C(=C1)Cl)C=CC(=O)NC2=CN=CC=C2)F,active,
CID-893627,CCCN1N=C(N=N1)NC(=O)COC2=CC=C(C=C2)C3CCCCC3,active,
CID-900806,CCOC1=C(C(=CC(=C1)C(=O)N)Br)OC,active,
CID-906542,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=N3)C,active,
CID-930290,C1=CSC(=C1)C2=CSC(=N2)NC(=O)C3=CC=C(C=C3)Cl,active,
CID-930620,C1CC(=O)N(C1=O)C2=C(C=CC(=C2)Cl)OC(=O)C3=CC=CO3,active,
CID-948801,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,active,
CID-951610,CSC1=CC=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-],active,
CID-970829,COC(=O)C1=C(C=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-])Cl,active,
CID-972394,CN1CCN(CC1)CC(=O)NC2=CC(=CC=C2)[N+](=O)[O-],active,
CID-986562,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C4=C(O3)C=CC(=C4)Cl)C,active,
CID-1007780,CC(C)CNS(=O)(=O)C1=CC=C(C=C1)CCC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3,active,
CID-1008368,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,active,
CID-1009382,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC4=CC=CC=C4N=C3,active,
CID-1010988,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)C,active,
CID-1069254,C1CCC(CC1)C2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)O,active,
CID-1083882,COC1=CC=C(C=C1)N(C(=O)CN2C3=CC=CC=C3N=N2)C4(CCCCC4)C(=O)NC5CCCC5,active,
CID-1092464,C1=CC=C(C(=C1)NC2=NC(=CS2)C3=CN=CC=C3)Cl,active,
CID-1105927,CC1=C(C=C(C=C1)C(=O)NCCN2CCOCC2)C,active,
CID-1117371,C1=COC(=C1)C(=O)N(CC2=CC=C(C=C2)[N+](=O)[O-])C3=CC=C(C=C3)Br,active,
CID-1120962,COC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,active,
CID-1121490,C1=CSC(=C1)C(=O)OC2=CC3=C(C=C2)C=CC(=O)O3,active,
CID-1154427,COC1=CC=C(C=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,active,
CID-1160939,CC1=NN=C(S1)SC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,active,
CID-1177253,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)C=CC3=CC=CS3,active,
CID-1188014,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,active,
CID-1189783,CCOC(=O)C1=C(OC2=C1C3=C(C4=CC=CC=C42)OCN(C3)CC5=CC=CC=N5)C,active,
CID-1214257,CC(=O)N(C)C1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl,active,
CID-1224165,CC1=C(C2=C(N1C3=CC=CC=C3OC)C4=CC=CC=C4C(=C2)OC)C(=O)O,active,
CID-1249482,CN(C)C1=NC(=NC(=N1)N)C2=NC3=CC=CC=C3S2,active,
CID-1250233,CC1=C(C=C(C=C1)N2C(=NN=N2)SCC(=O)NC(C3=CC=CC=C3)(C4=CC=CC=C4)C(=O)O)C,active,
CID-1295575,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CO3,active,
CID-1295693,CS(=O)(=O)N(CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2SC3=CC=CC=C3)C4=CC=CC=C4,active,
CID-1295791,COC1=CC=CC=C1N(CC(=O)NC2=CC(=C(C=C2)Cl)C(=O)OC)S(=O)(=O)C3=CC=CC=C3,active,
CID-1299520,CC1(CC2=C(CO1)SC3=C2C(=O)N(C(=N3)C4=CC5=CC=CC=C5O4)N)C,active,
CID-1304219,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(C=C2)COC3=CC=CC=C3,active,
CID-1312344,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C=CC3=CC=CC=C3Cl,active,
CID-1327906,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(=S)NC3=CC=CC(=C3)C(=O)O,active,
CID-1341336,C1=CC=C(C(=C1)C(=O)NC(=S)NC2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)Cl)Cl,active,
CID-1420934,CC(C)C12CN(CC(C1=O)(CN(C2)C(=O)C3=CC=CC=C3[N+](=O)[O-])C(C)C)C(=O)C4=CC=CC=C4[N+](=O)[O-],active,
CID-1475477,CC(C)OC1=C(C=C(C(=C1)NC(=O)CSCC(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl)Cl,active,
CID-1537038,CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)CCl,active,
CID-1632360,CC1=CC(=C(C=C1)NC(=O)CCC(=O)NNC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C,active,
CID-1768585,CC1=C(C=CC2=C1OC(=O)C3=CC=CC=C23)OCC(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)O,active,
CID-1831132,C1=CC=C(C(=C1)C(=O)NN2C(=O)C(=CC3=CC=C(C=C3)O)SC2=S)O,active,
CID-1864299,CCOC(=O)C1=C(C2=C(O1)N=C(C3=C2CCCC3)CC(C)C)N,active,
CID-1891999,C1=CC(=CC=C1NS(=O)(=O)C2=CC=C(C=C2)Br)S(=O)(=O)NC3=NC=CS3,active,
CID-1907744,C1=CC=C(C=C1)CNC(=S)NNC(=S)NC2=CC=CC(=C2)C(F)(F)F,active,
CID-1936560,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)F)OC,active,
CID-1949127,CC(C)OP(=O)(C1(C=C(C(=O)C(=C1)Cl)Cl)NS(=O)(=O)C2=CC=C(C=C2)Cl)OC(C)C,active,
CID-1975036,CCCCOC1=C(C=C(C=C1)CONS(=O)(=O)C2=CC=C(C=C2)NC(=O)C)Cl,active,
CID-2017227,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=C(C=C3)Cl)C(=O)CCl,active,
